,Galaxy,RA,Dec,Type,BT,Ai,v,É›,classes,MainClass,SubClass,Class,ClassInt
416,NGC3359,10 43 21,63 29.2,SB S5 P 1.8,10.99,0.46,1008.0,4.0,SBx,SB,S5,Spiral,0
417,NGC3367,10 43 56,14 00.8,SB S5 2.0,12.05,0.31,3034.0,20.0,SBx,SB,S5,Spiral,0
418,NGC3368,10 44 08,12 05.1,S S2 2.0,10.11,0.62,895.0,8.0,Sx,S,S2,Spiral,0
419,NGC337,00 57 19,-07 50.7,S S5 P 2.2,12.08,0.4,1647.0,10.0,Sx,S,S5,Spiral,0
420,NGC3370,10 44 23,17 32.3,S S5 1.5,-12.28,0.47,1400.0,78.0,Sx,S,S5,Spiral,0
421,NGC3377,10 45 03,14 15.0,E 6,11.1,0.0,718.0,40.0,Sx,E,6,Elliptical,1
422,NGC3379,10 45 11,12 50.8,E 0,10.33,0.0,893.0,19.0,E7,E,0,Elliptical,1
423,NGC3384,10 45 38,12 53.7,LB15,10.7,0.0,771.0,28.0,S0,LB15,irrelevant,Spiral,0
424,NGC3389,10 45 50,12 47.9,S S5 2.2,12.35,0.5,1261.0,12.0,Sx,S,S5,Spiral,0
425,NGC3390,10 45 44,-31 16.2,L 58 R S 3 U,13.09,0.0,2850.0,100.0,S0,L,58,Irregular,2
426,NGC3395,10 47 02,33 14.7,S S5 2.5,12.4,0.46,1628.0,6.0,Sx,S,S5,Spiral,0
427,NGC3396,10 47 08,33 15.3,S 5,12.6,0.61,1648.0,15.0,Sx,S,5,Spiral,0
428,NGC3403,10 50 14,73 57.4,S 4 3.0:,-12.74,0.6,1244.0,55.0,Sx,S,4,Spiral,0
429,NGC3412,10 48 15,13 40.5,LB25,11.47,0.0,861.0,75.0,S0,LB25,irrelevant,Spiral,0
430,NGC3414,10 48 32,28 14.5,L 1,11.74,0.0,1419.0,20.0,S0,L,1,Irregular,2
431,NGC3415,10 48 52,43 59.0,E 5,12.84,0.0,3301.0,15.0,E5,E,5,Elliptical,1
432,NGC3423,10 48 38,06 06.3,S S5 2.5,11.62,0.32,1010.0,8.0,Sx,S,S5,Spiral,0
433,NGC3430,10 49 25,33 12.9,S R4 1.5,12.15,0.47,1584.0,7.0,Sx,S,R4,Spiral,0
434,NGC3432,10 49 43,36 53.1,S 5 2.5W,11.73,0.81,616.0,7.0,Sx,S,5,Spiral,0
435,NGC3433,10 49 27,10 24.7,S R5 1.3,-12.28,0.31,2711.0,7.0,Sx,S,R5,Spiral,0
436,NGC3437,10 49 54,23 12.0,S S5 3.0U,-12.83,0.67,1283.0,15.0,Sx,S,S5,Spiral,0
437,NGC3445,10 51 34,57 15.3,S S5 3.0,12.8,0.31,1984.0,128.0,Sx,S,S5,Spiral,0
438,NGC3448,10 51 40,54 34.5,I 0 ?,12.15,,1357.0,9.0,I,I,0,Irregular,2
439,NGC3449,10 50 34,-32 39.7,S 1,12.95,0.43,3267.0,120.0,Sx,S,1,Spiral,0
440,NGC3455,10 51 52,17 33.1,S S5 2.0:,-12.81,0.44,1102.0,10.0,Sx,S,S5,Spiral,0
441,NGC3458,10 52 58,57 23.0,LB1,-13.15,0.0,1800.0,80.0,S0,LB1,irrelevant,Spiral,0
442,NGC3464,10 52 15,-20 48.1,S T5 1.0,-12.82,0.41,3836.0,165.0,Sx,S,T5,Spiral,0
443,NGC3478,10 56 35,46 23.4,S S5 ?,-12.95,0.57,6688.0,105.0,Sx,S,S5,Spiral,0
444,NGC3485,10 57 24,15 06.6,SB S4 2.0,-12.57,0.32,1518.0,93.0,SBx,SB,S4,Spiral,0
445,NGC3486,10 57 42,29 14.6,S R5 1.5,10.85,0.38,686.0,9.0,Sx,S,R5,Spiral,0
446,NGC3489,10 57 41,14 10.2,S 5 0,11.13,0.0,659.0,31.0,Sx,S,5,Spiral,0
447,NGC3495,10 58 41,03 53.8,S S5 3.0,-12.42,0.76,1145.0,10.0,Sx,S,S5,Spiral,0
448,NGC3504,11 00 29,28 14.5,SX S3 1.5,11.8,0.55,1535.0,19.0,Sx,SX,S3,Spiral,0
449,NGC3506,11 00 35,11 20.3,S S3 1.5,-13.44,0.47,6489.0,53.0,Sx,S,S3,Spiral,0
450,NGC3510,11 01 01,29 09.3,SB S5,13.3,0.82,710.0,19.0,SBx,SB,S5,Spiral,0
451,NGC3511,11 00 57,-22 49.0,S S5 2.8,11.56,0.61,1221.0,62.0,Sx,S,S5,Spiral,0
452,NGC3512,11 01 20,28 18.3,S T5 1.5,13.0,0.31,1395.0,19.0,Sx,S,T5,Spiral,0
453,NGC3513,11 01 20,-22 58.6,SB S5 2.2,-11.99,0.35,1116.0,14.0,SBx,SB,S5,Spiral,0
454,NGC3516,11 03 23,72 50.4,LB3,12.4,0.0,2664.0,22.0,S0,LB3,irrelevant,Spiral,0
455,NGC3521,11 03 15,00 14.2,S S3 2.5,9.64,0.8,818.0,11.0,Sx,S,S3,Spiral,0
456,NGC3547,11 07 19,10 59.5,S 5 3.0,13.2,0.53,1543.0,70.0,Sx,S,5,Spiral,0
457,NGC3549,11 08 03,53 39.6,S S4 2.0,-12.67,0.63,2840.0,15.0,Sx,S,S4,Spiral,0
458,NGC3556,11 08 37,55 56.7,S S5 3.0,10.71,0.74,698.0,3.0,Sx,S,S5,Spiral,0
459,NGC3557,11 07 36,-37 16.0,E 3,11.46,0.0,3151.0,80.0,E3,E,3,Elliptical,1
460,NGC357,01 00 50,-06 36.3,SB 1,12.9,0.31,2541.0,50.0,SBx,SB,1,Spiral,0
461,NGC3571,11 09 02,-18 01.0,S 1,-12.81,0.95,3777.0,60.0,Sx,S,1,Spiral,0
462,NGC3583,11 11 24,48 35.4,S S3 2.0,-12.18,0.63,2130.0,8.0,Sx,S,S3,Spiral,0
463,NGC3585,11 10 50,-26 28.8,F 17 7,10.93,0.0,1491.0,75.0,E,F,17,Irregular,2
464,NGC3593,11 12 00,13 05.4,S 1 P,11.7,0.92,625.0,4.0,Sx,S,1,Spiral,0
465,NGC3596,11 12 29,15 03.5,S R5 2.2,-11.64,0.29,1194.0,9.0,Sx,S,R5,Spiral,0
466,NGC3605,11 14 08,18 17.6,E 5,-13.06,0.0,693.0,65.0,E5,E,5,Elliptical,1
467,NGC3607,11 14 17,18 19.7,L 53,11.08,0.0,934.0,36.0,S0,L,53,Irregular,2
468,NGC3608,11 14 21,18 25.6,E 1,11.88,0.0,1210.0,50.0,E1,E,1,Elliptical,1
469,NGC3610,11 15 31,59 03.6,E 5,11.54,0.0,1765.0,50.0,E5,E,5,Elliptical,1
470,NGC3611,11 14 55,04 49.7,S 1,12.8,0.52,1620.0,15.0,Sx,S,1,Spiral,0
471,NGC3613,11 15 42,58 16.3,E 6,11.65,0.0,2054.0,75.0,E7,E,6,Elliptical,1
472,NGC3614,11 15 34,46 01.2,S R5 1.0,-12.21,0.46,2321.0,15.0,Sx,S,R5,Spiral,0
473,NGC3619,11 16 28,58 02.0,S 1,12.55,0.53,1559.0,15.0,Sx,S,1,Spiral,0
474,NGC3621,11 15 50,-32 32.4,S S5 2.8,-10.03,0.45,726.0,7.0,Sx,S,S5,Spiral,0
475,NGC3623,11 16 19,13 21.9,S S1 2.0,10.24,1.07,805.0,5.0,Sx,S,S1,Spiral,0
476,NGC3626,11 17 26,18 37.8,S 1,11.74,0.31,1507.0,6.0,Sx,S,1,Spiral,0
477,NGC3627,11 17 38,13 15.8,S S3 2.2,9.74,0.83,723.0,8.0,Sx,S,S3,Spiral,0
478,NGC3628,11 17 40,13 52.1,S 4,10.31,0.82,847.0,9.0,Sx,S,4,Spiral,0
479,NGC3629,11 17 52,27 14.4,S S5 2.5,-12.8,0.38,1510.0,8.0,Sx,S,S5,Spiral,0
480,NGC3630,11 17 42,03 14.3,L 19,12.65,0.0,1517.0,52.0,S0,L,19,Irregular,2
481,NGC3631,11 18 13,53 26.7,S S5 1.5,11.03,0.32,1158.0,17.0,Sx,S,S5,Spiral,0
482,NGC3637,11 18 08,-09 59.0,SB4 0,-12.85,0.0,1855.0,90.0,SBx,SB4,0,Spiral,0
483,NGC3640,11 18 33,03 30.6,E 2,11.26,0.0,1354.0,40.0,E2,E,2,Elliptical,1
484,NGC3642,11 19 25,59 21.0,S R3 1.0,11.53,0.52,1623.0,50.0,Sx,S,R3,Spiral,0
485,NGC3646,11 19 05,20 26.7,S R4 2.0,11.88,0.44,4195.0,24.0,Sx,S,R4,Spiral,0
486,NGC3655,11 20 17,16 51.7,S S5 P 3.0,12.3,0.43,1490.0,15.0,Sx,S,S5,Spiral,0
487,NGC3659,11 21 08,18 05.4,S S5 3.0,-12.81,0.5,1215.0,75.0,Sx,S,S5,Spiral,0
488,NGC3664,11 21 51,03 36.3,SB 9 3.5,-12.72,0.15,1406.0,56.0,SBx,SB,9,Spiral,0
489,NGC3665,11 22 01,39 02.2,L 53,11.75,0.0,2002.0,50.0,S0,L,53,Irregular,2
490,NGC3666,11 21 50,11 37.1,S 5 2.5,-12.36,0.7,1064.0,15.0,Sx,S,5,Spiral,0
491,NGC3672,11 22 31,-09 31.2,S S5 1.5,-11.66,0.53,1861.0,8.0,Sx,S,S5,Spiral,0
492,NGC3673,11 22 44,-26 27.8,SB 3 2.0,-12.41,0.64,1940.0,15.0,SBx,SB,3,Spiral,0
493,NGC3675,11 23 25,43 51.7,S R3 2.0,10.9,0.78,762.0,9.0,Sx,S,R3,Spiral,0
494,NGC3681,11 23 54,17 08.3,SB R3 1.5,12.4,0.46,1246.0,10.0,SBx,SB,R3,Spiral,0
495,NGC3683,11 24 52,57 09.2,S 5 3.0U,-13.4,0.61,1686.0,45.0,Sx,S,5,Spiral,0
496,NGC3684,11 24 35,17 18.3,S S5 2.0,12.3,0.4,1175.0,9.0,Sx,S,S5,Spiral,0
497,NGC3686,11 25 07,17 30.0,SB S4 1.5,12.0,0.37,1143.0,16.0,SBx,SB,S4,Spiral,0
498,NGC3687,11 25 23,29 47.0,SB R4 1.2,-12.85,0.28,2501.0,10.0,SBx,SB,R4,Spiral,0
499,NGC3689,11 25 35,25 56.2,S R5 2.0,13.0,0.4,2706.0,27.0,Sx,S,R5,Spiral,0
500,NGC3690,11 25 42,58 50.0,S P,-12.02,0.36,2988.0,20.0,Sx,S,P,Spiral,0
501,NGC3691,11 25 35,17 11.8,S,-13.53,0.37,1057.0,20.0,Sx,S,irrelevant,Spiral,0
502,NGC3705,11 27 33,09 33.2,S R2 1.5,-11.77,0.89,1017.0,15.0,Sx,S,R2,Spiral,0
503,NGC3706,11 27 17,-36 06.7,E 4,12.13,0.0,3045.0,108.0,E4,E,4,Elliptical,1
504,NGC3717,11 29 04,-30 01.9,S S3,-12.12,1.25,1728.0,8.0,Sx,S,S3,Spiral,0
505,NGC3718,11 29 50,53 20.7,S 1 G,11.26,0.82,1002.0,5.0,Sx,S,1,Spiral,0
506,NGC3720,11 29 48,01 04.8,S S4 1.0,13.7,0.31,6016.0,70.0,Sx,S,S4,Spiral,0
507,NGC3726,11 30 38,47 18.4,S R5 1.5,10.95,0.39,860.0,9.0,SBx,S,R5,Spiral,0
508,NGC3729,11 31 04,53 24.0,SB P R,12.0,0.42,1035.0,28.0,SBx,SB,P,Spiral,0
509,NGC3732,11 31 41,-09 34.2,S R5 P,12.69,0.3,1719.0,5.0,Sx,S,R5,Spiral,0
510,NGC3735,11 33 06,70 48.6,S 5 2.5U,-12.5,0.83,2673.0,15.0,Sx,S,5,Spiral,0
511,NGC3738,11 33 04,54 47.9,S 7 3.0,12.14,0.37,224.0,10.0,Sx,S,7,Spiral,0
512,NGC3756,11 34 05,54 34.3,S S5 1.5,12.15,0.51,1285.0,15.0,Sx,S,S5,Spiral,0
513,NGC3769,11 35 02,48 10.3,SB S5 2.0,12.52,0.67,737.0,69.0,SBx,SB,S5,Spiral,0
514,NGC3773,11 35 38,12 23.4,J,-13.08,,983.0,19.0,S0,J,irrelevant,Irregular,2
515,NGC3780,11 36 38,56 33.0,S R5 2.3,-12.27,0.35,2384.0,11.0,Sx,S,R5,Spiral,0
516,NGC3782,11 36 41,46 47.4,SB 9 4.0,-13.08,0.21,738.0,15.0,SBx,SB,9,Spiral,0
517,NGC3783,11 36 33,-37 27.7,SB R1 1.0,-12.89,0.0,2790.0,100.0,SBx,SB,R1,Spiral,0
518,NGC3810,11 38 24,11 44.9,S S5 2.0,11.36,0.4,995.0,10.0,Sx,S,S5,Spiral,0
519,NGC3813,11 38 40,36 49.4,S S5 2.8,12.3,0.52,1465.0,7.0,Sx,S,S5,Spiral,0
520,NGC3818,11 39 24,-05 52.7,E 5,12.79,0.0,1498.0,65.0,E5,E,5,Elliptical,1
521,NGC3865,11 42 19,-08 57.5,S T2,-12.86,0.6,5714.0,175.0,Sx,S,T2,Spiral,0
522,NGC3872,11 43 14,14 02.7,E 4,12.8,0.0,3109.0,75.0,E4,E,4,Elliptical,1
523,NGC3877,11 43 29,47 46.2,S 5 2.2,-11.78,0.76,886.0,13.0,Sx,S,5,Spiral,0
524,NGC3885,11 44 15,-27 38.7,S 1,-13.27,0.83,1807.0,15.0,Sx,S,1,Spiral,0
525,NGC3887,11 44 33,-16 34.6,S R3 1.5,11.6,0.55,1163.0,42.0,Sx,S,R3,Spiral,0
526,NGC3888,11 44 55,56 14.9,S S5 1.5,-13.09,0.37,2358.0,15.0,Sx,S,S5,Spiral,0
527,NGC3892,11 45 28,-10 41.0,LB5,-12.5,0.0,1727.0,80.0,S0,LB5,irrelevant,Spiral,0
528,NGC3893,11 46 01,48 59.4,S S5 1.2,11.1,0.45,967.0,7.0,Sx,S,S5,Spiral,0
529,NGC3898,11 46 36,56 21.8,S 1 1.0,11.7,0.74,1161.0,12.0,Sx,S,1,Spiral,0
530,NGC3900,11 46 34,27 18.1,S R1,12.2,0.76,1799.0,10.0,Sx,S,R1,Spiral,0
531,NGC3904,11 46 42,-28 59.9,E 2,11.95,0.0,1613.0,75.0,E2,E,2,Elliptical,1
532,NGC3912,11 47 30,26 45.3,SB P L,-13.27,0.72,1791.0,19.0,Sx,SB,P,Spiral,0
533,NGC3917,11 48 08,52 06.2,S S5 3.0,-12.4,0.75,965.0,8.0,Sx,S,S5,Spiral,0
534,NGC3923,11 48 30,-28 31.7,F 14 4,10.91,0.0,1788.0,65.0,E,F,14,Irregular,2
535,NGC3936,11 49 48,-26 37.6,S S5 1.5,-12.83,0.87,2012.0,15.0,Sx,S,S5,Spiral,0
536,NGC3938,11 50 13,44 24.0,S S5 1.0,10.91,0.31,808.0,7.0,Sx,S,S5,Spiral,0
537,NGC3941,11 50 20,37 15.9,SB2 0,11.28,0.0,944.0,18.0,SBx,SB2,0,Spiral,0
538,NGC3945,11 50 36,60 57.3,LB3,11.49,0.0,1220.0,75.0,S0,LB3,irrelevant,Spiral,0
539,NGC3949,11 51 05,48 08.3,S S5 3.0,11.4,0.46,801.0,15.0,Sx,S,S5,Spiral,0
540,NGC3952,11 51 07,-03 43.1,S R S 9,-13.46,0.49,1625.0,68.0,Sx,S,R,Spiral,0
541,NGC3953,11 51 13,52 36.5,SB R4 1.5,10.79,0.51,957.0,43.0,SBx,SB,R4,Spiral,0
542,NGC3955,11 51 25,-22 53.2,S P,12.55,0.79,1325.0,45.0,Sx,S,P,Spiral,0
543,NGC3956,11 51 28,-20 17.3,S S5 2.0,-12.54,0.68,1651.0,15.0,Sx,S,S5,Spiral,0
544,NGC3957,11 51 33,-19 17.3,L 59,12.98,0.0,1838.0,98.0,S0,L,59,Irregular,2
545,NGC3962,11 52 07,-13 41.8,E 1,11.66,0.0,1821.0,31.0,E1,E,1,Elliptical,1
546,NGC3963,11 52 22,58 46.3,SB T5 1.5,-12.38,0.31,3185.0,15.0,SBx,SB,T5,Spiral,0
547,NGC3976,11 53 23,07 01.7,S S5 1.5,-12.24,0.67,2487.0,14.0,Sx,S,S5,Spiral,0
548,NGC3981,11 53 35,-19 36.9,S 3?: 1.0U,-12.44,0.98,1809.0,227.0,Sx,S,3?:,Spiral,0
549,NGC3982,11 53 53,55 24.0,S R4 2.5,-11.91,0.32,1102.0,15.0,Sx,S,R4,Spiral,0
550,NGC3985,11 54 06,48 36.9,S,-13.02,0.55,946.0,38.0,Sx,S,irrelevant,Spiral,0
551,NGC3992,11 55 01,53 39.3,SB T3 1.0,10.64,0.69,1049.0,6.0,SBx,SB,T3,Spiral,0
552,NGC3995,11 55 10,32 34.3,S 5 3.0,12.8,0.61,3353.0,32.0,Sx,S,5,Spiral,0
553,NGC3998,11 55 20,55 44.1,L 13,11.5,0.0,1119.0,21.0,S0,L,13,Irregular,2
554,NGC4008,11 55 43,28 28.2,L 13,12.9,0.0,3571.0,95.0,S0,L,13,Irregular,2
555,NGC4013,11 55 58,44 13.4,S 4 :,-12.0,0.83,830.0,15.0,Sx,S,4,Spiral,0
556,NGC4024,11 55 59,-18 04.2,E 4,12.67,0.0,1694.0,140.0,E4,E,4,Elliptical,1
557,NGC4026,11 56 50,51 14.4,L 29,11.47,0.0,878.0,75.0,S0,L,29,Irregular,2
558,NGC4027,11 56 56,-18 59.4,S S5 3.0,11.65,0.37,1672.0,10.0,Sx,S,S5,Spiral,0
559,NGC4030,11 57 50,-00 49.4,S R4 1.0,-11.07,0.38,1509.0,47.0,Sx,S,R4,Spiral,0
560,NGC4032,11 58 00,20 21.1,S 3U:,-12.76,0.44,1267.0,20.0,Sx,S,3U:,Spiral,0
561,NGC4033,11 58 01,-17 34.0,F 16 6,12.47,0.0,1521.0,75.0,E,F,16,Irregular,2
562,NGC4036,11 58 54,62 10.5,S 58 0,11.56,0.0,1382.0,50.0,Sx,S,58,Spiral,0
563,NGC4037,11 58 50,13 40.7,SB S5 2.3:,-12.52,0.33,933.0,15.0,SBx,SB,S5,Spiral,0
564,NGC4038,11 59 19,-18 35.1,S 5 P,11.3,0.42,1642.0,12.0,Sx,S,5,Spiral,0
565,NGC404,01 06 39,35 27.1,L 50,11.12,0.0,-39.0,24.0,S0,L,50,Irregular,2
566,NGC4041,11 59 39,62 25.0,S S5 2.5,11.64,0.3,1233.0,10.0,Sx,S,S5,Spiral,0
567,NGC4045,12 00 09,02 15.5,S S4 1.5,12.65,0.39,1939.0,80.0,Sx,S,S4,Spiral,0
568,NGC4047,12 00 18,48 55.2,S S5 1.5,13.1,0.33,3355.0,43.0,Sx,S,S5,Spiral,0
569,NGC4050,12 00 20,-16 05.4,SB T3 1.5,12.25,0.62,1904.0,110.0,SBx,SB,T3,Spiral,0
570,NGC4051,12 00 37,44 48.7,S S4 2.0,10.93,0.37,706.0,5.0,Sx,S,S4,Spiral,0
571,NGC406,01 05 48,-70 09.0,S S5 2.0,12.51,0.63,1498.0,54.0,Sx,S,S5,Spiral,0
572,NGC4062,12 01 31,32 10.4,S S5 2.5,12.0,0.57,772.0,7.0,Sx,S,S5,Spiral,0
573,NGC4064,12 01 38,18 43.3,SB S5 :,12.3,0.6,1033.0,47.0,SBx,SB,S5,Spiral,0
574,NGC4073,12 01 54,02 10.6,E 5,-12.74,0.0,5844.0,97.0,E5,E,5,Elliptical,1
575,NGC4085,12 02 51,50 38.0,S 5 3.0:,12.91,0.7,753.0,14.0,Sx,S,5,Spiral,0
576,NGC4088,12 03 02,50 49.1,SX S5 2.5,11.14,0.6,750.0,12.0,Sx,SX,S5,Spiral,0
577,NGC4094,12 03 18,-14 15.1,S S4 2.0,-12.54,0.61,1420.0,15.0,Sx,S,S4,Spiral,0
578,NGC4096,12 03 29,47 45.7,S S5 2.5,11.02,0.72,560.0,11.0,Sx,S,S5,Spiral,0
579,NGC4100,12 03 37,49 51.4,S S5 1.5,-11.62,0.66,1069.0,15.0,Sx,S,S5,Spiral,0
580,NGC4102,12 03 52,52 59.3,S R3 2.0,12.3,0.71,865.0,14.0,Sx,S,R3,Spiral,0
581,NGC4105,12 04 06,-29 28.9,L 23,11.88,0.0,1900.0,33.0,S0,L,23,Irregular,2
582,NGC4106,12 04 11,-29 29.4,SB 0 T,12.36,0.0,2182.0,45.0,SBx,SB,0,Spiral,0
583,NGC4111,12 04 32,43 20.7,L 19,11.75,0.0,791.0,14.0,S0,L,19,Irregular,2
584,NGC4116,12 05 04,02 58.2,SB R5 3.0,12.37,0.46,1309.0,10.0,SBx,SB,R5,Spiral,0
585,NGC4123,12 05 38,03 09.3,SB T4,11.84,0.37,1325.0,10.0,SBx,SB,T4,Spiral,0
586,NGC4124,12 05 36,10 39.5,L 56,12.35,0.0,1635.0,64.0,S0,L,56,Irregular,2
587,NGC4125,12 05 35,65 27.3,E 6,10.76,0.0,1375.0,29.0,E7,E,6,Elliptical,1
588,NGC4128,12 06 04,69 02.8,L 16,12.78,0.0,2395.0,62.0,S0,L,16,Irregular,2
589,NGC4129,12 06 19,-08 45.7,S 5 3.0:,13.2,0.74,1210.0,172.0,Sx,S,5,Spiral,0
590,NGC4136,12 06 46,30 12.3,S R5 1.5,-11.58,0.3,445.0,50.0,Sx,S,R5,Spiral,0
591,NGC4138,12 06 59,43 57.8,S R2,12.13,0.68,1039.0,100.0,Sx,S,R2,Spiral,0
592,NGC4143,12 07 05,42 48.8,S 15 0,12.07,0.0,784.0,100.0,Sx,S,15,Spiral,0
593,NGC4144,12 07 28,46 44.1,S 6 3.0,-12.01,0.79,265.0,11.0,Sx,S,6,Spiral,0
594,NGC4145,12 07 30,40 09.7,SB R5 2.0,11.5,0.38,1013.0,7.0,SBx,SB,R5,Spiral,0
595,NGC4150,12 08 01,30 40.9,S 54 0,12.4,0.0,244.0,50.0,Sx,S,54,Spiral,0
596,NGC4151,12 08 00,39 40.9,S 2,11.13,0.6,964.0,2.0,Sx,S,2,Spiral,0
597,NGC4152,12 08 05,16 18.7,S R5 1.4,12.5,0.36,2161.0,10.0,Sx,S,R5,Spiral,0
598,NGC4157,12 08 35,50 45.8,S 4,-11.56,0.83,780.0,8.0,Sx,S,4,Spiral,0
599,NGC4158,12 08 37,20 27.2,S 1 :,-12.84,0.49,2463.0,21.0,Sx,S,1,Spiral,0
600,NGC4162,12 09 20,24 24.0,S S5 1.5,12.25,0.46,2546.0,135.0,Sx,S,S5,Spiral,0
601,NGC4168,12 09 44,13 29.0,E 2,12.21,0.0,2389.0,60.0,E2,E,2,Elliptical,1
602,NGC4178,12 10 14,11 08.8,SB S5 2.0,11.89,0.63,355.0,12.0,SBx,SB,S5,Spiral,0
603,NGC4179,12 10 19,01 34.7,L 19,11.84,0.0,1279.0,50.0,S0,L,19,Irregular,2
604,NGC4183,12 10 47,43 58.6,S 6 O,-12.4,0.87,931.0,9.0,Sx,S,6,Spiral,0
605,NGC4189,12 11 14,13 42.2,SB Q5 2.2,12.53,0.33,2098.0,9.0,SBx,SB,Q5,Spiral,0
606,NGC4190,12 11 13,36 54.6,S 9 4.0,-13.0,0.16,231.0,15.0,Sx,S,9,Spiral,0
607,NGC4192,12 11 15,15 10.8,S 3 2.0:,10.92,1.07,-140.0,14.0,Sx,S,3,Spiral,0
608,NGC4203,12 12 34,33 28.7,L 31,11.62,0.0,1089.0,14.0,S0,L,31,Irregular,2
609,NGC4212,12 13 07,14 10.8,S S5 2.5,11.86,0.42,-50.0,100.0,Sx,S,S5,Spiral,0
610,NGC4214,12 13 08,36 36.5,SB 9 3.0,10.22,0.19,291.0,3.0,SBx,SB,9,Spiral,0
611,NGC4215,12 13 22,06 41.0,L 19,13.04,0.0,2093.0,43.0,S0,L,19,Irregular,2
612,NGC4216,12 13 21,13 25.4,S S3,10.97,1.21,111.0,13.0,Sx,S,S3,Spiral,0
613,NGC4217,12 13 21,47 22.3,S 3 :,-11.3,1.08,1029.0,8.0,Sx,S,3,Spiral,0
614,NGC4219,12 13 50,-43 02.8,S S4 2.5U,12.3,0.65,1980.0,19.0,Sx,S,S4,Spiral,0
615,NGC4220,12 13 43,48 09.5,S R1,12.23,1.0,979.0,50.0,Sx,S,R1,Spiral,0
616,NGC4224,12 14 01,07 44.4,S 1,12.95,0.91,2588.0,74.0,Sx,S,1,Spiral,0
617,NGC4233,12 14 35,07 54.1,LB16,12.97,0.0,2224.0,188.0,S0,LB16,irrelevant,Spiral,0
618,NGC4234,12 14 36,03 57.7,SB 5 3.4,13.43,0.3,2143.0,90.0,SBx,SB,5,Spiral,0
619,NGC4235,12 14 37,07 28.1,S 1,12.62,0.62,2527.0,41.0,Sx,S,1,Spiral,0
620,NGC4236,12 14 22,69 45.0,SB 7 4.0,10.06,0.66,-7.0,4.0,SBx,SB,7,Spiral,0
621,NGC4237,12 14 39,15 36.1,S R5 2.8,12.53,0.42,922.0,40.0,Sx,S,R5,Spiral,0
622,NGC4242,12 15 01,45 53.8,SB 7 3.0,11.54,0.37,516.0,15.0,SBx,SB,7,Spiral,0
623,NGC4244,12 15 00,38 05.2,S 6,10.6,0.87,242.0,2.0,Sx,S,6,Spiral,0
624,NGC4245,12 15 05,29 52.9,SB S1,12.25,0.0,890.0,65.0,SBx,SB,S1,Spiral,0
