,Galaxy,RA,Dec,Type,BT,Ai,v,É›,classes,MainClass,SubClass,Class,ClassInt
625,NGC4251,12 15 36,28 27.1,L 18,11.62,0.0,1014.0,75.0,S0,L,18,Irregular,2
626,NGC4254,12 16 17,14 41.7,S S5 1.3,10.43,0.32,2413.0,10.0,Sx,S,S5,Spiral,0
627,NGC4256,12 16 21,66 10.6,S S3,-12.67,1.33,2577.0,51.0,Sx,S,S3,Spiral,0
628,NGC4258,12 16 29,47 35.0,S S3 2.0,8.95,0.91,463.0,5.0,Sx,S,S3,Spiral,0
629,NGC4260,12 16 49,06 22.6,SB S1,12.7,0.4,1957.0,19.0,SBx,SB,S1,Spiral,0
630,NGC4261,12 16 50,06 06.1,E 3,11.38,0.0,2227.0,34.0,E3,E,3,Elliptical,1
631,NGC4262,12 16 59,15 09.3,LB4,12.38,0.0,1364.0,8.0,S0,LB4,irrelevant,Spiral,0
632,NGC4267,12 17 13,13 04.6,LB1,11.78,0.0,1260.0,75.0,S0,LB1,irrelevant,Spiral,0
633,NGC4270,12 17 17,05 44.5,L 16,13.17,0.0,2347.0,50.0,S0,L,16,Irregular,2
634,NGC4273,12 17 23,05 37.3,SB S5 2.0,12.37,0.43,2386.0,9.0,SBx,SB,S5,Spiral,0
635,NGC4274,12 17 20,29 53.3,S S1,11.3,0.95,913.0,4.0,Sx,S,S1,Spiral,0
636,NGC4278,12 17 36,29 33.6,E 1,11.13,0.0,630.0,14.0,E1,E,1,Elliptical,1
637,NGC428,01 10 23,00 42.9,S S5 3.0,11.85,0.37,1150.0,9.0,Sx,S,S5,Spiral,0
638,NGC4281,12 17 49,05 39.9,L 56,12.26,0.0,2602.0,50.0,S0,L,56,Irregular,2
639,NGC4283,12 17 50,29 35.2,E 0,13.12,0.0,1089.0,58.0,E0,E,0,Elliptical,1
640,NGC4290,12 18 23,58 22.3,SB 3,-12.59,0.6,2766.0,102.0,SBx,SB,3,Spiral,0
641,NGC4291,12 18 07,75 38.8,E 3,12.33,0.0,1827.0,40.0,E3,E,3,Elliptical,1
642,NGC4293,12 18 42,18 39.7,S 1 P,11.2,0.84,933.0,38.0,Sx,S,1,Spiral,0
643,NGC4294,12 18 45,11 47.4,SB S5 2.5,12.62,0.6,352.0,15.0,SBx,SB,S5,Spiral,0
644,NGC4298,12 19 00,14 53.1,S S5 3.0,12.08,0.47,1114.0,24.0,Sx,S,S5,Spiral,0
645,NGC4299,12 19 08,11 46.8,S S7 3.0,12.86,0.3,232.0,11.0,Sx,S,S7,Spiral,0
646,NGC4302,12 19 10,14 52.5,S 5 O,12.55,0.86,1114.0,15.0,Sx,S,5,Spiral,0
647,NGC4303,12 19 22,04 45.1,S S5 1.2,10.17,0.31,1561.0,3.0,Sx,S,S5,Spiral,0
648,NGC4304,12 19 35,-33 12.4,SB S4 2.0,12.79,0.28,2608.0,15.0,SBx,SB,S4,Spiral,0
649,NGC4307,12 19 33,09 19.1,S 3 ?,-12.82,0.62,1305.0,202.0,Sx,S,3,Spiral,0
650,NGC4314,12 20 03,30 10.1,SB T1 P,11.35,0.0,883.0,85.0,SBx,SB,T1,Spiral,0
651,NGC4321,12 20 23,16 06.0,S S5 1.0,10.11,0.32,1568.0,4.0,Sx,S,S5,Spiral,0
652,NGC4324,12 20 34,05 31.7,S R1 R,12.34,0.43,1662.0,9.0,Sx,S,R1,Spiral,0
653,NGC4339,12 21 02,06 21.6,L 20,12.32,0.0,1278.0,100.0,S0,L,20,Irregular,2
654,NGC434,01 10 13,-58 30.7,S S2,12.96,0.73,4906.0,70.0,Sx,S,S2,Spiral,0
655,NGC4340,12 21 04,17 00.0,LB3 R,11.93,0.0,874.0,53.0,S0,LB3,R,Spiral,0
656,NGC4342,12 21 07,07 20.0,E 7,13.54,0.0,714.0,50.0,E7,E,7,Elliptical,1
657,NGC4346,12 21 01,47 16.2,LB19,12.19,0.0,849.0,95.0,S0,LB19,irrelevant,Spiral,0
658,NGC4348,12 21 20,-03 10.0,S O,-12.89,0.93,2154.0,57.0,Sx,S,O,Spiral,0
659,NGC4350,12 21 26,16 58.3,L 18,11.88,0.0,1184.0,60.0,S0,L,18,Irregular,2
660,NGC4365,12 21 56,07 35.7,E 3,10.6,0.0,1230.0,10.0,E3,E,3,Elliptical,1
661,NGC4369,12 22 09,39 39.7,S S5 3.5,-12.28,0.29,1052.0,8.0,Sx,S,S5,Spiral,0
662,NGC4371,12 22 23,11 58.8,LB43R,11.74,0.0,977.0,76.0,S0,LB43R,irrelevant,Spiral,0
663,NGC4373,12 22 40,-39 28.7,E,12.07,0.0,3444.0,47.0,S0,E,irrelevant,Elliptical,1
664,NGC4374,12 22 31,13 09.8,E 1,10.23,0.0,952.0,13.0,E1,E,1,Elliptical,1
665,NGC4377,12 22 40,15 02.4,L 13,12.67,0.0,1335.0,43.0,S0,L,13,Irregular,2
666,NGC4378,12 22 45,05 12.1,S S1,-12.28,0.0,2545.0,8.0,Sx,S,S1,Spiral,0
667,NGC4379,12 22 43,15 53.0,L 12,12.3,0.0,1030.0,49.0,S0,L,12,Irregular,2
668,NGC4380,12 22 50,10 17.6,S S2,-12.38,0.72,963.0,7.0,Sx,S,S2,Spiral,0
669,NGC4382,12 22 53,18 28.0,L 13 P,10.1,0.0,739.0,20.0,S0,L,13,Irregular,2
670,NGC4383,12 22 54,16 44.8,L :,12.98,0.0,1609.0,90.0,S0,L,:,Irregular,2
671,NGC4385,12 23 12,00 50.9,SB S4 2.0,13.05,0.45,2142.0,7.0,SBx,SB,S4,Spiral,0
672,NGC4386,12 22 22,75 48.3,L 15,12.6,0.0,1811.0,61.0,S0,L,15,Irregular,2
673,NGC4388,12 23 14,12 56.3,S 2,11.83,1.18,2487.0,36.0,Sx,S,2,Spiral,0
674,NGC4389,12 23 10,45 57.7,SB P,-12.69,0.0,717.0,11.0,SBx,SB,P,Spiral,0
675,NGC439,01 11 25,-32 00.9,E 5,-13.0,0.0,5644.0,155.0,E5,E,5,Elliptical,1
676,NGC4394,12 23 25,18 29.4,SB Q3 1.5,11.76,0.48,944.0,10.0,SBx,SB,Q3,Spiral,0
677,NGC4395,12 23 20,33 49.5,S 7 3.5,10.69,0.34,317.0,9.0,Sx,S,7,Spiral,0
678,NGC4406,12 23 40,13 13.4,K 13 3,10.02,0.0,-250.0,17.0,S0,K,13,Irregular,2
679,NGC4412,12 24 02,04 14.3,SB S4 2.0,-13.07,0.31,1735.0,10.0,Sx,SB,S4,Spiral,0
680,NGC4414,12 23 57,31 29.9,S Q5 2.2,10.95,0.47,727.0,45.0,Sx,S,Q5,Spiral,0
681,NGC4417,12 24 18,09 51.7,L 17,12.07,0.0,843.0,57.0,S0,L,17,Irregular,2
682,NGC4419,12 24 25,15 19.4,SB 2 :,12.13,1.01,-229.0,18.0,SBx,SB,2,Spiral,0
683,NGC4420,12 24 25,02 46.3,S S5 3.0,-12.71,0.53,1680.0,10.0,Sx,S,S5,Spiral,0
684,NGC4424,12 24 40,09 41.8,S 1U P,12.32,0.82,456.0,79.0,Sx,S,1U,Spiral,0
685,NGC4425,12 24 42,13 00.7,LB PR S 1 P,12.79,0.0,1883.0,50.0,S0,LB,PR,Spiral,0
686,NGC4428,12 24 53,-07 53.9,S S5 2.3,-13.32,0.56,3036.0,40.0,Sx,S,S5,Spiral,0
687,NGC4429,12 24 54,11 23.1,S 56 0 P,11.15,0.0,1114.0,65.0,Sx,S,56,Spiral,0
688,NGC4433,12 25 03,-08 00.3,S 4 3.0,-13.01,0.56,2979.0,40.0,Sx,S,4,Spiral,0
689,NGC4435,12 25 08,13 21.4,LB17,11.72,0.0,869.0,100.0,S0,LB17,irrelevant,Spiral,0
690,NGC4438,12 25 14,13 17.1,S 3 T,10.91,0.94,1.0,19.0,Sx,S,3,Spiral,0
691,NGC4442,12 25 32,10 04.7,LB16,11.31,0.0,580.0,100.0,S0,LB16,irrelevant,Spiral,0
692,NGC4448,12 25 46,28 53.8,S R3 1.5,12.0,0.95,693.0,65.0,Sx,S,R3,Spiral,0
693,NGC4449,12 25 47,44 22.3,S 9 4.0,9.85,0.2,207.0,5.0,Sx,S,9,Spiral,0
694,NGC4450,12 25 59,17 21.7,S 2 P,10.93,0.62,1958.0,12.0,Sx,S,2,Spiral,0
695,NGC4452,12 26 12,12 02.0,L 1Z,13.3,0.0,152.0,82.0,S0,L,1Z,Irregular,2
696,NGC4454,12 26 16,-01 39.7,S 1,13.0,0.0,2414.0,103.0,Sx,S,1,Spiral,0
697,NGC4455,12 26 13,23 05.5,S 5 O,-12.93,0.66,630.0,12.0,Sx,S,5,Spiral,0
698,NGC4457,12 26 26,03 50.8,S T3 2.0,11.66,0.54,868.0,21.0,Sx,S,T3,Spiral,0
699,NGC4459,12 26 29,14 15.3,L 53,11.49,0.0,1111.0,75.0,S0,L,53,Irregular,2
700,NGC4460,12 26 19,45 08.6,S 4,-12.11,0.72,558.0,28.0,Sx,S,4,Spiral,0
701,NGC4461,12 26 31,13 27.7,S 1,12.09,0.0,1887.0,40.0,Sx,S,1,Spiral,0
702,NGC4462,12 26 44,-22 53.6,SB S2 1.5,12.56,0.91,1866.0,127.0,SBx,SB,S2,Spiral,0
703,NGC4469,12 26 56,09 01.5,S 2 O,-12.28,0.99,508.0,25.0,Sx,S,2,Spiral,0
704,NGC4472,12 27 14,08 16.7,F 11 1,9.32,0.0,961.0,13.0,E,F,11,Irregular,2
705,NGC4473,12 27 17,13 42.4,E 5,11.07,0.0,2275.0,28.0,E5,E,5,Elliptical,1
706,NGC4474,12 27 22,14 20.7,L 18,12.7,0.0,1526.0,50.0,S0,L,18,Irregular,2
707,NGC4476,12 27 28,12 37.5,E 5 P D,13.08,0.0,1978.0,70.0,E5,E,5,Elliptical,1
708,NGC4477,12 27 31,13 54.7,SB2 0,11.24,0.0,1263.0,75.0,SBx,SB2,0,Spiral,0
709,NGC4478,12 27 46,12 36.3,E 2,12.15,0.0,1482.0,75.0,E2,E,2,Elliptical,1
710,NGC4483,12 28 08,09 17.1,LB15,-13.41,0.0,875.0,80.0,S0,LB15,irrelevant,Spiral,0
711,NGC4485,12 28 05,41 58.5,S T,12.36,0.51,786.0,104.0,Sx,S,T,Spiral,0
712,NGC4486,12 28 17,12 40.1,E 0,9.62,0.0,1254.0,14.0,E0,E,0,Elliptical,1
713,NGC4487,12 28 30,-07 46.5,SB S5 2.2,-11.66,0.39,1037.0,8.0,SBx,SB,S5,Spiral,0
714,NGC4490,12 28 10,41 54.9,S 6 P 3.0,10.23,0.53,570.0,2.0,Sx,S,6,Spiral,0
715,NGC4494,12 28 55,26 03.1,E 1,10.74,0.0,1310.0,28.0,E1,E,1,Elliptical,1
716,NGC4496,12 29 07,04 12.9,SB 5 3.5,-11.71,0.37,1725.0,5.0,SBx,SB,5,Spiral,0
717,NGC45,00 11 32,-23 27.6,S S6 3.0,11.1,0.41,463.0,3.0,Sx,S,S6,Spiral,0
718,NGC450,01 12 57,-01 07.6,S S5 2.3,12.5,0.36,1759.0,8.0,Sx,S,S5,Spiral,0
719,NGC4501,12 29 28,14 41.7,S S4 2.0,10.27,0.5,2269.0,5.0,Sx,S,S4,Spiral,0
720,NGC4503,12 29 34,11 27.2,S 1,12.22,0.0,1392.0,76.0,Sx,S,1,Spiral,0
721,NGC4504,12 29 42,-07 17.3,S S5 2.0,-11.92,0.42,998.0,9.0,Sx,S,S5,Spiral,0
722,NGC4517,12 30 12,00 23.3,S 5,11.2,0.87,1129.0,6.0,Sx,S,5,Spiral,0
723,NGC4519,12 30 58,08 55.8,SB T5 2.2,12.34,0.4,1229.0,5.0,SBx,SB,T5,Spiral,0
724,NGC4522,12 31 08,09 27.0,S 4 :,-12.7,0.73,2318.0,10.0,Sx,S,4,Spiral,0
725,NGC4526,12 31 31,07 58.5,L 56,10.59,0.0,448.0,22.0,S0,L,56,Irregular,2
726,NGC4527,12 31 35,02 55.7,S S3 2.0,11.32,1.02,1738.0,8.0,Sx,S,S3,Spiral,0
727,NGC4532,12 31 47,06 44.7,S 9 3.5,12.3,0.3,2002.0,4.0,SBx,S,9,Spiral,0
728,NGC4535,12 31 48,08 28.6,SB S5 1.3,10.51,0.39,1953.0,6.0,Sx,SB,S5,Spiral,0
729,NGC4536,12 31 54,02 27.7,S S5 1.0,11.01,0.57,1809.0,6.0,Sx,S,S5,Spiral,0
730,NGC4540,12 32 20,15 49.6,S S6 3.5,-12.87,0.36,1285.0,10.0,Sx,S,S6,Spiral,0
731,NGC4546,12 32 55,-03 31.1,SB1 0,11.3,0.0,1037.0,24.0,SBx,SB1,0,Spiral,0
732,NGC4548,12 32 55,14 46.4,SB T3 1.5,10.98,0.55,472.0,9.0,SBx,SB,T3,Spiral,0
733,NGC4550,12 32 59,12 29.8,F 17 7,12.33,0.0,378.0,14.0,E,F,17,Irregular,2
734,NGC4552,12 33 08,12 50.0,L 10,10.8,0.0,319.0,26.0,S0,L,10,Irregular,2
735,NGC4559,12 33 29,28 14.1,S S5 2.5,10.36,0.57,810.0,6.0,Sx,S,S5,Spiral,0
736,NGC4561,12 33 38,19 36.1,SB 5 4.0,-12.96,0.35,1407.0,20.0,SBx,SB,5,Spiral,0
737,NGC4564,12 33 55,11 42.9,E 6,11.87,0.0,1015.0,68.0,E7,E,6,Elliptical,1
738,NGC4565,12 33 52,26 15.6,S 3,10.39,1.33,1220.0,14.0,Sx,S,3,Spiral,0
739,NGC4567,12 34 01,11 32.0,S S5 2.5,12.08,0.41,2257.0,9.0,Sx,S,S5,Spiral,0
740,NGC4568,12 34 02,11 30.9,S S5 2.5,11.7,0.57,2320.0,42.0,Sx,S,S5,Spiral,0
741,NGC4569,12 34 19,13 26.4,S S2 1.5,10.23,0.84,-261.0,50.0,Sx,S,S2,Spiral,0
742,NGC4570,12 34 21,07 31.4,K 17 7,11.68,0.0,1730.0,75.0,S0,K,17,Irregular,2
743,NGC4571,12 34 25,14 29.6,S S5 2.5,11.81,0.32,343.0,6.0,Sx,S,S5,Spiral,0
744,NGC4578,12 34 59,09 49.8,L 24,12.04,0.0,2282.0,50.0,S0,L,24,Irregular,2
745,NGC4579,12 35 12,12 05.6,S S2 2.0,10.56,0.55,1805.0,36.0,Sx,S,S2,Spiral,0
746,NGC4580,12 35 16,05 38.6,S R4 2.0,-12.69,0.38,1253.0,64.0,Sx,S,R4,Spiral,0
747,NGC4586,12 35 55,04 35.6,S 1,12.54,1.01,823.0,57.0,Sx,S,1,Spiral,0
748,NGC4589,12 35 28,74 28.0,E 2,11.87,0.0,1971.0,32.0,E2,E,2,Elliptical,1
749,NGC4592,12 36 45,-00 15.4,S 6 3.0,-12.16,0.7,1076.0,15.0,Sx,S,6,Spiral,0
750,NGC4593,12 37 05,-05 04.2,SB T3 1.5,-11.72,0.57,2698.0,38.0,SBx,SB,T3,Spiral,0
751,NGC4594,12 37 23,-11 21.0,S 2,9.28,0.88,1089.0,6.0,Sx,S,2,Spiral,0
752,NGC4595,12 37 21,15 34.3,S S5 2.8,-13.22,0.43,660.0,85.0,Sx,S,S5,Spiral,0
753,NGC4596,12 37 24,10 27.0,SB 1 V,11.45,0.0,1959.0,86.0,SBx,SB,1,Spiral,0
754,NGC4597,12 37 38,-05 31.5,SB R5 3.0:,-12.58,0.53,1045.0,15.0,SBx,SB,R5,Spiral,0
755,NGC4602,12 38 03,-04 52.0,S S5 1.5,-12.28,0.63,2538.0,15.0,Sx,S,S5,Spiral,0
756,NGC4603,12 38 11,-40 42.1,S S5 1.5,-12.09,0.44,2360.0,200.0,Sx,S,S5,Spiral,0
757,NGC4605,12 37 47,61 53.1,S S5 3.0,10.96,0.61,141.0,15.0,Sx,S,S5,Spiral,0
758,NGC4608,12 38 42,10 25.7,SB5 0,12.05,0.0,1863.0,43.0,SBx,SB5,0,Spiral,0
759,NGC4612,12 39 00,07 35.3,LB2,12.04,0.0,1883.0,53.0,S0,LB2,irrelevant,Spiral,0
760,NGC4618,12 39 08,41 25.6,SB T4 P 2.2,11.2,0.33,532.0,31.0,SBx,SB,T4,Spiral,0
761,NGC4621,12 39 31,11 55.2,E 5,10.67,0.0,438.0,29.0,E5,E,5,Elliptical,1
762,NGC4623,12 39 38,07 57.0,E 7,13.09,0.0,1963.0,105.0,E7,E,7,Elliptical,1
763,NGC4630,12 39 58,04 13.9,S,-12.97,0.5,686.0,49.0,Sx,S,irrelevant,Spiral,0
764,NGC4631,12 39 41,32 48.8,S 5 O,9.84,0.86,619.0,3.0,Sx,S,5,Spiral,0
765,NGC4632,12 39 59,00 11.4,S S5 2.3,-12.22,0.61,1727.0,50.0,Sx,S,S5,Spiral,0
766,NGC4635,12 40 09,20 13.2,S 5 2.5,-12.92,0.38,979.0,15.0,Sx,S,5,Spiral,0
767,NGC4636,12 40 17,02 57.7,F 16,10.5,0.0,979.0,20.0,E,F,16,Irregular,2
768,NGC4638,12 40 16,11 42.9,L 17,12.05,0.0,1080.0,150.0,S0,L,17,Irregular,2
769,NGC4639,12 40 21,13 31.9,SB R3 2.0,12.19,0.62,970.0,8.0,SBx,SB,R3,Spiral,0
770,NGC4643,12 40 48,02 15.1,SB5 0,11.55,0.0,1432.0,40.0,SBx,SB5,0,Spiral,0
771,NGC4645,12 41 25,-41 28.7,E 5,12.79,0.0,2588.0,80.0,E5,E,5,Elliptical,1
772,NGC4647,12 41 01,11 51.2,S T5 3.0,12.02,0.36,1448.0,130.0,Sx,S,T5,Spiral,0
773,NGC4649,12 41 09,11 49.5,L 12,9.83,0.0,1259.0,26.0,S0,L,12,Irregular,2
774,NGC4651,12 41 13,16 40.1,S R5 1.5,11.36,0.41,817.0,4.0,Sx,S,R5,Spiral,0
775,NGC4653,12 41 17,-00 17.2,S T5 1.3,12.82,0.31,2605.0,15.0,Sx,S,T5,Spiral,0
776,NGC4654,12 41 26,13 24.0,SB T5 2.0,11.14,0.46,1036.0,6.0,SBx,SB,T5,Spiral,0
777,NGC4656,12 41 32,32 26.5,I 9,10.86,0.41,638.0,4.0,I,I,9,Irregular,2
778,NGC4658,12 42 02,-09 48.7,SB S5 1.5,-12.74,0.57,2407.0,43.0,SBx,SB,S5,Spiral,0
779,NGC4660,12 42 01,11 27.6,E 5,11.87,0.0,1017.0,30.0,E5,E,5,Elliptical,1
780,NGC4665,12 42 33,03 19.8,SB6 0 :,-11.43,0.0,785.0,50.0,SBx,SB6,0,Spiral,0
781,NGC4666,12 42 35,-00 11.2,S 4 2.3,11.56,0.7,1645.0,40.0,Sx,S,4,Spiral,0
782,NGC4668,12 42 58,-00 15.7,SB S5 3.0,13.59,0.47,1701.0,125.0,SBx,SB,S5,Spiral,0
783,NGC4670,12 42 50,27 24.0,SB P,13.05,0.48,1076.0,6.0,SBx,SB,P,Spiral,0
784,NGC4679,12 44 46,-39 17.9,S S3 1.5,-12.95,0.52,4792.0,63.0,Sx,S,S3,Spiral,0
785,NGC4682,12 44 40,-09 47.4,S S5 2.4,-12.87,0.49,2306.0,10.0,Sx,S,S5,Spiral,0
786,NGC4684,12 44 43,-02 27.1,L 47,-12.27,0.0,1590.0,51.0,S0,L,47,Irregular,2
787,NGC4688,12 45 14,04 36.6,SB S5 2.0,-12.45,0.3,981.0,9.0,SBx,SB,S5,Spiral,0
788,NGC4689,12 45 15,14 02.1,S S5 2.3,11.55,0.33,1554.0,15.0,Sx,S,S5,Spiral,0
789,NGC4691,12 45 39,-03 03.6,SB 3 P,11.7,0.54,1123.0,13.0,SBx,SB,3,Spiral,0
790,NGC4694,12 45 44,11 15.4,I 0,12.21,,1177.0,14.0,I,I,0,Irregular,2
791,NGC4696,12 46 04,-41 02.3,E 3 U,11.59,0.0,2983.0,27.0,E3,E,3,Elliptical,1
792,NGC4697,12 46 01,-05 31.7,E 6,10.11,0.0,1224.0,10.0,E7,E,6,Elliptical,1
793,NGC4698,12 45 52,08 45.6,S 1,11.53,0.38,986.0,5.0,Sx,S,1,Spiral,0
794,NGC4699,12 46 26,-08 23.6,S Q2,10.44,0.59,1511.0,49.0,Sx,S,Q2,Spiral,0
795,NGC470,01 17 10,03 09.0,S S4 2.3,12.6,0.44,2476.0,50.0,Sx,S,S4,Spiral,0
796,NGC4700,12 46 32,-11 08.2,S 5 R S 9,-12.57,0.63,1405.0,14.0,Sx,S,5,Spiral,0
797,NGC4701,12 46 39,03 39.7,S S4 2.0,12.75,0.35,724.0,15.0,Sx,S,S4,Spiral,0
798,NGC4710,12 47 09,15 26.3,L 59,11.85,0.0,1117.0,45.0,S0,L,59,Irregular,2
799,NGC4712,12 47 08,25 44.5,S S5 2.0,13.59,0.56,4379.0,8.0,Sx,S,S5,Spiral,0
800,NGC4713,12 47 25,05 35.0,SB S5 2.5,12.21,0.43,656.0,8.0,SBx,SB,S5,Spiral,0
801,NGC4725,12 48 00,25 46.5,SX R3 2.0,9.99,0.62,1213.0,9.0,Sx,SX,R3,Spiral,0
802,NGC473,01 17 15,16 17.0,S R3,-13.04,0.34,2129.0,10.0,Sx,S,R3,Spiral,0
803,NGC4731,12 48 26,-06 07.3,SB S5 3.0:,-11.55,0.53,1495.0,9.0,SBx,SB,S5,Spiral,0
804,NGC4736,12 48 32,41 23.6,S S2,8.92,0.54,311.0,3.0,Sx,S,S2,Spiral,0
805,NGC474,01 17 32,03 09.3,S 0,12.35,0.0,2381.0,9.0,Sx,S,0,Spiral,0
806,NGC4742,12 49 12,-10 11.0,E 4,12.11,0.0,1321.0,50.0,E4,E,4,Elliptical,1
807,NGC4747,12 49 19,26 02.8,SB 5 :,13.01,0.63,1198.0,7.0,SBx,SB,5,Spiral,0
808,NGC4750,12 48 20,73 08.8,S R3 P 2.0,-12.26,0.48,1647.0,89.0,Sx,S,R3,Spiral,0
809,NGC4753,12 49 48,-00 55.7,L P,10.85,0.0,1288.0,50.0,S0,L,P,Irregular,2
810,NGC4754,12 49 47,11 35.1,LB15,11.41,0.0,1461.0,75.0,S0,LB15,irrelevant,Spiral,0
811,NGC4756,12 50 15,-15 08.6,E 3,13.33,0.0,4164.0,90.0,E3,E,3,Elliptical,1
812,NGC4760,12 50 31,-10 13.3,E 0,13.04,0.0,4658.0,95.0,E0,E,0,Elliptical,1
813,NGC4762,12 50 25,11 30.1,L 1Z,11.26,0.0,937.0,19.0,S0,L,1Z,Irregular,2
814,NGC4763,12 50 35,-16 44.1,SB R4 2.0,13.32,0.49,4190.0,58.0,SBx,SB,R4,Spiral,0
815,NGC4765,12 50 42,04 44.1,S 7 3.0:,-13.27,0.38,772.0,48.0,Sx,S,7,Spiral,0
816,NGC4767,12 51 08,-39 27.0,S 0,12.65,0.0,3075.0,36.0,Sx,S,0,Spiral,0
817,NGC4771,12 50 48,01 32.4,S 5 2.5:,-12.7,0.8,1202.0,130.0,Sx,S,5,Spiral,0
818,NGC4772,12 50 56,02 26.4,S 1 :,-12.4,0.82,1042.0,10.0,Sx,S,1,Spiral,0
819,NGC4775,12 51 11,-06 21.2,S S5 2.8,-11.74,0.3,1567.0,10.0,Sx,S,S5,Spiral,0
820,NGC4781,12 51 47,-10 15.9,S S5 2.8,-11.69,0.54,895.0,67.0,Sx,S,S5,Spiral,0
821,NGC4782,12 51 59,-12 18.1,E 0 T,12.75,0.0,3986.0,38.0,E0,E,0,Elliptical,1
822,NGC4783,12 52 00,-12 17.4,E 1 T,12.8,0.0,4642.0,38.0,E1,E,1,Elliptical,1
823,NGC4786,12 51 57,-06 35.3,E 3,12.82,0.0,4647.0,70.0,E3,E,3,Elliptical,1
824,NGC4790,12 52 16,-09 58.6,S 7 2.0,-12.81,0.42,1359.0,15.0,Sx,S,7,Spiral,0
825,NGC4793,12 52 16,29 12.5,S S5 2.2,12.3,0.49,2487.0,17.0,SBx,S,S5,Spiral,0
826,NGC4795,12 52 31,08 20.2,SB S1 T?,-13.18,0.51,2879.0,105.0,SBx,SB,S1,Spiral,0
827,NGC4800,12 52 20,46 48.0,S T3 2.5,12.3,0.58,746.0,50.0,Sx,S,T3,Spiral,0
828,NGC4808,12 53 17,04 34.4,S S5 3.0,-12.56,0.57,776.0,9.0,Sx,S,S5,Spiral,0
829,NGC4814,12 53 14,58 36.9,S S3 1.0,12.8,0.59,2531.0,65.0,Sx,S,S3,Spiral,0
830,NGC4818,12 54 13,-08 15.1,S 2 :,-11.89,0.98,1046.0,94.0,Sx,S,2,Spiral,0
831,NGC4825,12 54 36,-13 23.9,L 23,12.92,0.0,4452.0,45.0,S0,L,23,Irregular,2
832,NGC4826,12 54 17,21 57.1,S S2 2.0,9.37,0.75,413.0,8.0,Sx,S,S2,Spiral,0
833,NGC4835,12 55 17,-45 59.6,S S5 1.5,12.54,0.75,2261.0,82.0,Sx,S,S5,Spiral,0
834,NGC4845,12 55 28,01 50.8,S 1,-12.17,1.1,1061.0,72.0,Sx,S,1,Spiral,0
